"codeinsee";"libdpt";"libsubcom";"popsubcom";"nompsn";"prepsn";"civpsn";"naissance";"csp";"libcsp"
"01364";"AIN";"Saint-Jean-sur-Reyssouze";738;"SALLET";"Jacques";"M";1958-07-16;19;"Autres cadres (secteur privé)"
"01365";"AIN";"Saint-Jean-sur-Veyle";1087;"RENOUD-LYAT DUPERRAY";"Agnès";"F";1965-05-24;57;"Sans profession déclarée"
"01366";"AIN";"Sainte-Julie";912;"ROBIN";"Jean-Luc";"M";1956-12-01;64;"Retraités des entreprises publiques"
"01367";"AIN";"Saint-Julien-sur-Reyssouze";709;"RIGOLLET";"Christophe";"M";1968-07-18;47;"Fonctionnaires de catégorie A"
"01368";"AIN";"Saint-Julien-sur-Veyle";727;"REVOL";"Serge";"M";1954-05-26;20;"Employés (secteur privé)"
"01369";"AIN";"Saint-Just";883;"PICHET";"Jean";"M";1944-07-08;63;"Retraités fonct.publique (sf enseig.)"
"01370";"AIN";"Saint-Laurent-sur-Saône";1760;"PAGNEUX";"Jean-Pierre";"M";1946-09-05;59;"Retr.artis.commerc.chefs d'entrep."
"01371";"AIN";"Saint-Marcel";1205;"PETRONE";"Dominique";"M";1954-04-25;47;"Fonctionnaires de catégorie A"
"01372";"AIN";"Saint-Martin-de-Bavel";436;"VINCENT";"Xavier";"M";1968-07-08;1;"Agriculteurs propriétaires exploit."
"01373";"AIN";"Saint-Martin-du-Frêne";1093;"TURC";"Dominique";"M";1958-07-13;19;"Autres cadres (secteur privé)"
"01374";"AIN";"Saint-Martin-du-Mont";1681;"PAUCOD";"Laurent";"M";1949-12-11;62;"Retraités de l'enseignement"
"01375";"AIN";"Saint-Martin-le-Châtel";792;"JACQUET";"Jean-Luc";"M";1960-10-08;48;"Fonctionnaires de catégorie B"
"01376";"AIN";"Saint-Maurice-de-Beynost";3864;"GOUBET";"Pierre";"M";1956-12-26;19;"Autres cadres (secteur privé)"
"01378";"AIN";"Saint-Maurice-de-Gourdans";2475;"VENET";"Fabrice";"M";1951-03-05;64;"Retraités des entreprises publiques"
